year,state,abbr,electors,d_pv,d_2pv,d_pv_nat,d_2pv_nat,d_cand,r_cand,winner,d_electors,r_electors,state_winner,incumb_party,d_incumb,r_incumb,d_prev_admin,r_prev_admin,d_hsa,r_hsa,d_rsa,r_rsa,pop,area
1960,Michigan,MI,20,50.85050256,51.01038577,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,317,220,1,0,0,0,0,1,0,0,0,0,7834000,56539
1960,Minnesota,MN,11,50.58301938,50.71587049,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,317,220,1,0,0,0,0,1,0,0,0,0,3425000,79617
1960,Mississippi,MS,8,36.34223315,59.56476091,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,317,220,1,0,0,0,0,1,0,0,0,0,2182000,46914
1960,Missouri,MO,13,50.25795819,50.25795819,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,317,220,1,0,0,0,0,1,0,0,0,0,4326000,68898
1960,Montana,MT,4,48.59553496,48.74427243,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,317,220,0,0,0,0,0,1,0,0,0,0,679000,145556
1960,Nebraska_d1,NE_d1,0,37.92919531,37.92919531,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,317,220,0,0,0,0,0,1,0,0,0,0,1417000,76878
1960,Nebraska_d2,NE_d2,0,37.92919531,37.92919531,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,317,220,0,0,0,0,0,1,0,0,0,0,1417000,76878
1960,Nebraska_d3,NE_d3,0,37.92919531,37.92919531,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,317,220,0,0,0,0,0,1,0,0,0,0,1417000,76878
1960,Nebraska_full,NE_full,6,37.92919531,37.92919531,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,317,220,0,0,0,0,0,1,0,0,0,0,1417000,76878
1960,Nevada,NV,3,51.16205357,51.16205357,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,317,220,1,0,0,0,0,1,0,0,0,0,291000,109806
1960,New Hampshire,NH,4,46.58220658,46.58220658,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,317,220,0,0,0,0,0,1,0,0,0,0,609000,8969
1960,New Jersey,NJ,16,49.9588729,50.4018388,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,317,220,1,0,0,0,0,1,0,0,0,0,6103000,7419
1960,New Mexico,NM,4,50.15219844,50.37028668,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,317,220,1,0,0,0,0,1,0,0,0,0,954000,121365
