year,state,abbr,electors,d_pv,r_pv,pop,area
1964,Kentucky,KY,9,64.01451097,35.65387796,3129000,39732
1964,Louisiana,LA,10,43.18543155,56.81456845,3446000,43566
1964,Maine_full,ME_full,4,68.79579037,31.13705698,993000,30865
1964,Maine_d1,ME_d1,0,68.79579037,31.13705698,993000,30865
1964,Maine_d2,ME_d2,0,68.79579037,31.13705698,993000,30865
1964,Maryland,MD,10,65.46709815,34.5284234,3492000,9775
1964,Massachusetts,MA,14,76.18660541,23.44453552,5448000,7838
1964,Michigan,MI,21,66.70455702,33.09766595,8187000,56539
1964,Minnesota,MN,10,63.75948721,36.00113737,3558000,79617
1964,Mississippi,MS,7,12.8604459,87.1395541,2241000,46914
1964,Missouri,MO,12,64.04958746,35.95041254,4442000,68898
1964,Montana,MT,4,58.94813156,40.56735145,706000,145556
1964,Nebraska_full,NE_full,5,52.6071892,47.3928108,1482000,76878
1964,Nebraska_d1,NE_d1,0,52.6071892,47.3928108,1482000,76878
1964,Nebraska_d2,NE_d2,0,52.6071892,47.3928108,1482000,76878
1964,Nebraska_3,NA,NA,52.6071892,47.3928108,NA,NA
1964,Nevada,NV,3,58.58173414,41.41826586,426000,109806
1964,New Hampshire,NH,4,63.89047981,36.10952019,663000,8969
1964,New Jersey,NJ,17,65.60667002,33.85742438,6660000,7419
1964,New Mexico,NM,4,59.22103689,40.24174717,1006000,121365
1964,New York,NY,43,68.56189947,31.30832129,17589000,47224
1964,North Carolina,NC,13,56.15077513,43.84922487,4802000,48718
1964,North Dakota,ND,4,57.96841197,41.87755671,649000,68994
1964,Ohio,OH,26,62.94299904,37.05700096,10080000,40953
1964,Oklahoma,OK,8,55.74633324,44.25366676,2446000,68679
1964,Oregon,OR,6,63.71789573,35.9630169,1888000,96003
1964,Pennsylvania,PA,29,64.92131984,34.70380638,11519000,44820
1964,Rhode Island,RI,4,80.86907927,19.12758818,885000,1034
1964,South Carolina,SC,8,41.10481824,58.89365724,2475000,30111
1964,South Dakota,SD,4,55.61241548,44.38758452,701000,75898
1964,Tennessee,TN,11,55.50498013,44.4920477,3771000,41220
1964,Texas,TX,25,63.31574674,36.49162425,10270000,261914
1964,Utah,UT,4,54.86448003,45.13551997,978000,82168
1964,Vermont,VT,3,66.29938255,33.68835421,399000,9249
1964,Virginia,VA,12,53.54079137,46.18144871,4357000,39598
1964,Washington,WA,9,61.96633284,37.3734661,2961000,66582
1964,West Virginia,WV,7,67.93684662,32.06315338,1797000,24087
1964,Wisconsin,WI,12,62.08858534,37.74023756,4165000,54314
1964,Wyoming,WY,3,56.55847978,43.44152022,339000,97105
1968,Alabama,AL,10,18.72328956,13.99377284,3446000,50750
1968,Alaska,AK,3,42.64587222,45.28210995,285000,570641
1968,Arizona,AZ,5,35.0177436,54.77537089,1682000,113642
1968,Arkansas,AR,6,30.33202644,31.01461638,1902000,52075
1968,California,CA,40,44.73942049,47.81938078,19394000,155973
1968,Colorado,CO,6,41.31834482,50.46172394,2120000,103730
1968,Connecticut,CT,8,49.47820148,44.31673449,2964000,4845
1968,Delaware,DE,3,41.60808333,45.11608596,534000,1955
1968,District Of Columbia,DC,3,81.81946089,18.18053911,NA,NA
1968,Florida,FL,14,30.93484109,40.53395984,6433000,53997
1968,Georgia,GA,12,26.7495077,30.40241037,4482000,57919
1968,Hawaii,HI,4,59.8277862,38.7036551,734000,6423
1968,Idaho,ID,4,30.65872664,56.79212042,695000,82751
1968,Illinois,IL,26,44.15421704,47.07558787,10995000,55593
1968,Indiana,IN,13,37.9855029,50.28661276,5093000,35870
1968,Iowa,IA,9,40.81568175,53.0087822,2803000,55875
1968,Kansas,KS,7,34.7160749,54.84456045,2216000,81823
1968,Kentucky,KY,9,37.64974292,43.79335785,3195000,39732
1968,Louisiana,LA,10,28.21221924,23.46667274,3603000,43566
1968,Maine_full,ME_full,4,55.30468066,43.0741902,994000,30865
1968,Maine_d1,ME_d1,0,55.30468066,43.0741902,994000,30865
1968,Maine_d2,ME_d2,0,55.30468066,43.0741902,994000,30865
1968,Maryland,MD,10,43.58647784,41.94159051,3815000,9775
1968,Massachusetts,MA,14,63.00918794,32.88703087,5618000,7838
1968,Michigan,MI,21,48.18395463,41.45678639,8696000,56539
1968,Minnesota,MN,10,53.99638655,41.46294326,3703000,79617
1968,Mississippi,MS,7,23.01633744,13.52403099,2219000,46914
1968,Missouri,MO,12,43.7382219,44.87046712,4568000,68898
1968,Montana,MT,4,41.58722176,50.59510794,700000,145556
1968,Nebraska_full,NE_full,5,31.8121788,59.8234892,1467000,76878
1968,Nebraska_d1,NE_d1,0,31.8121788,59.8234892,1467000,76878
1968,Nebraska_d2,NE_d2,0,31.8121788,59.8234892,1467000,76878
1968,Nebraska_d3,NE_d3,0,31.8121788,59.8234892,1467000,76878
1968,Nevada,NV,3,39.29372706,47.45749523,464000,109806
1968,New Hampshire,NH,4,43.92513934,52.10343795,709000,8969
1968,New Jersey,NJ,17,43.96634202,46.09686669,7005000,7419
1968,New Mexico,NM,4,39.74596753,51.84902271,994000,121365
1968,New York,NY,43,49.75607012,44.29900976,18051000,47224
1968,North Carolina,NC,13,29.23559348,39.50833169,5004000,48718
1968,North Dakota,ND,4,38.23149724,55.9415367,621000,68994
1968,Ohio,OH,26,42.94736619,45.2310757,10516000,40953
1968,Oklahoma,OK,8,31.98626636,47.68356226,2503000,68679
1968,Oregon,OR,6,43.78432985,49.83187372,2004000,96003
1968,Pennsylvania,PA,29,47.58717908,44.01955969,11741000,44820
1968,Rhode Island,RI,4,64.03064935,31.78155844,922000,1034
1968,South Carolina,SC,8,29.60889499,38.09128282,2559000,30111
1968,South Dakota,SD,4,41.96164458,53.27414813,669000,75898
1968,Tennessee,TN,11,28.12976277,37.8492364,3878000,41220
1968,Texas,TX,25,41.13793374,39.87275468,10819000,261914
1968,Utah,UT,4,37.07450635,56.49457602,1029000,82168
1968,Vermont,VT,3,43.52742187,52.75086119,430000,9249
1968,Virginia,VA,12,32.49283322,43.35827413,4558000,39598
1968,Washington,WA,9,47.23192318,45.12141172,3270000,66582
1968,West Virginia,WV,7,49.60063961,40.77864668,1763000,24087
