year,abbr,pop,area,density
1972,UT,1135449,82168,13.82
1972,VA,4824472,39598,121.84
1972,VT,463143,9249,50.07
1972,WA,3447885,66582,51.78
1972,WI,4502412,54314,82.9
1972,WV,1797648,24087,74.63
1972,WY,347345,97105,3.58
1976,AK,400969,570641,0.7
1976,AL,3735139,50750,73.6
1976,AR,2170161,52075,41.67
1976,AZ,2346157,113642,20.65
1976,CA,21935909,155973,140.64
1976,CO,2632306,103730,25.38
1976,CT,3083335,4845,636.4
1976,DE,590166,1955,301.88
1976,FL,8667379,53997,160.52
1976,GA,5132812,57919,88.62
1976,HI,904191,6423,140.77
1976,IA,2903082,55875,51.96
1976,ID,856983,82751,10.36
1976,IL,11342853,55593,204.03
1976,IN,5389088,35870,150.24
1976,KS,2301001,81823,28.12
1976,KY,3529257,39732,88.83
1976,LA,3950605,43566,90.68
1976,MA,5743672,7838,732.8
1976,MD,4150539,9775,424.61
1976,ME,1088412,30865,35.26
1976,MI,9129205,56539,161.47
1976,MN,3964680,79617,49.8
1976,MO,4839029,68898,70.23
1976,MS,2429756,46914,51.79
1976,MT,757317,145556,5.2
1976,NC,5607964,48718,115.11
1976,ND,645797,68994,9.36
1976,NE,1550911,76878,20.17
1976,NH,845248,8969,94.24
1976,NJ,7339745,7419,989.32
1976,NM,1189295,121365,9.8
1976,NV,646975,109806,5.89
1976,NY,17940541,47224,379.9
1976,OH,10752662,40953,262.56
1976,OK,2826815,68679,41.16
1976,OR,2378262,96003,24.77
1976,PA,11897378,44820,265.45
1976,RI,946089,1034,914.98
1976,SC,2943657,30111,97.76
1976,SD,686390,75898,9.04
1976,TN,4346928,41220,105.46
1976,TX,12904089,261914,49.27
1976,UT,1274928,82168,15.52
1976,VA,5121863,39598,129.35
1976,VT,484928,9249,52.43
1976,WA,3693610,66582,55.47
1976,WI,4595904,54314,84.62
1976,WV,1879503,24087,78.03
1976,WY,396952,97105,4.09
1980,AK,405315,570641,0.71
1980,AL,3900368,50750,76.85
1980,AR,2288738,52075,43.95
1980,AZ,2737774,113642,24.09
1980,CA,23800800,155973,152.6
1980,CO,2908803,103730,28.04
1980,CT,3113174,4845,642.55
1980,DE,594919,1955,304.31
1980,FL,9839835,53997,182.23
1980,GA,5486174,57919,94.72
1980,HI,967710,6423,150.66
1980,IA,2914018,55875,52.15
1980,ID,947983,82751,11.46
1980,IL,11434702,55593,205.69
1980,IN,5490721,35870,153.07
1980,KS,2369039,81823,28.95
1980,KY,3664221,39732,92.22
1980,LA,4223101,43566,96.94
1980,MA,5746075,7838,733.1
1980,MD,4227643,9775,432.5
1980,ME,1126860,30865,36.51
1980,MI,9255553,56539,163.7
1980,MN,4085017,79617,51.31
1980,MO,4921966,68898,71.44
1980,MS,2525342,46914,53.83
1980,MT,788752,145556,5.42
1980,NC,5898980,48718,121.08
1980,ND,654380,68994,9.48
1980,NE,1572296,76878,20.45
1980,NH,924250,8969,103.05
1980,NJ,7376330,7419,994.25
1980,NM,1309400,121365,10.79
1980,NV,810215,109806,7.38
1980,NY,17566754,47224,371.99
1980,OH,10800650,40953,263.73
1980,OK,3040758,68679,44.27
1980,OR,2641218,96003,27.51
1980,PA,11868305,44820,264.8
1980,RI,948773,1034,917.58
1980,SC,3134502,30111,104.1
1980,SD,690851,75898,9.1
1980,TN,4600252,41220,111.6
1980,TX,14338208,261914,54.74
1980,UT,1472595,82168,17.92
1980,VA,5368334,39598,135.57
1980,VT,512524,9249,55.41
1980,WA,4154678,66582,62.4
1980,WI,4712045,54314,86.76
1980,WV,1951349,24087,81.01
1980,WY,474185,97105,4.88
1984,AK,513702,570641,0.9
1984,AL,3951820,50750,77.87
1984,AR,2319768,52075,44.55
1984,AZ,3067135,113642,26.99
1984,CA,25844393,155973,165.7
1984,CO,3169992,103730,30.56
1984,CT,3180014,4845,656.35
1984,DE,611565,1955,312.82
1984,FL,11039925,53997,204.45
1984,GA,5834954,57919,100.74
1984,HI,1027922,6423,160.04
1984,IA,2858618,55875,51.16
1984,ID,990839,82751,11.97
1984,IL,11412132,55593,205.28
1984,IN,5458322,35870,152.17
1984,KS,2424086,81823,29.63
1984,KY,3695453,39732,93.01
1984,LA,4400477,43566,101.01
1984,MA,5840773,7838,745.19
1984,MD,4365243,9775,446.57
1984,ME,1155635,30865,37.44
1984,MI,9049452,56539,160.06
1984,MN,4157706,79617,52.22
1984,MO,4975278,68898,72.21
1984,MS,2578051,46914,54.95
1984,MT,820905,145556,5.64
1984,NC,6164006,48718,126.52
1984,ND,680497,68994,9.86
1984,NE,1588639,76878,20.66
1984,NH,976864,8969,108.92
1984,NJ,7515473,7419,1013
1984,NM,1416717,121365,11.67
1984,NV,924922,109806,8.42
1984,NY,17745684,47224,375.78
1984,OH,10737746,40953,262.2
1984,OK,3285533,68679,47.84
1984,OR,2666588,96003,27.78
1984,PA,11815172,44820,263.61
1984,RI,961894,1034,930.26
1984,SC,3271868,30111,108.66
1984,SD,697249,75898,9.19
1984,TN,4686737,41220,113.7
1984,TX,16007086,261914,61.12
1984,UT,1622342,82168,19.74
1984,VA,5643870,39598,142.53
1984,VT,526660,9249,56.94
1984,WA,4343656,66582,65.24
1984,WI,4735563,54314,87.19
1984,WV,1927697,24087,80.03
1984,WY,504896,97105,5.2
1988,AK,541983,570641,0.95
1988,AL,4023844,50750,79.29
1988,AR,2342656,52075,44.99
1988,AZ,3535183,113642,31.11
1988,CA,28464249,155973,182.49
1988,CO,3262281,103730,31.45
1988,CT,3271953,4845,675.33
1988,DE,647622,1955,331.26
1988,FL,12306395,53997,227.91
1988,GA,6316142,57919,109.05
1988,HI,1079828,6423,168.12
1988,IA,2768388,55875,49.55
1988,ID,985664,82751,11.91
1988,IL,11390183,55593,204.89
1988,IN,5491735,35870,153.1
1988,KS,2461996,81823,30.09
1988,KY,3679999,39732,92.62
1988,LA,4288863,43566,98.45
1988,MA,5979982,7838,762.95
1988,MD,4657904,9775,476.51
1988,ME,1203840,30865,39
1988,MI,9217998,56539,163.04
1988,MN,4296166,79617,53.96
1988,MO,5081736,68898,73.76
1988,MS,2580352,46914,55
1988,MT,800202,145556,5.5
1988,NC,6480594,48718,133.02
1988,ND,655331,68994,9.5
1988,NE,1571477,76878,20.44
1988,NH,1082577,8969,120.7
1988,NJ,7712333,7419,1039.54
1988,NM,1490337,121365,12.28
1988,NV,1075022,109806,9.79
1988,NY,17941309,47224,379.92
1988,OH,10798552,40953,263.68
1988,OK,3167057,68679,46.11
1988,OR,2741297,96003,28.55
1988,PA,11845752,44820,264.3
1988,RI,996408,1034,963.64
1988,SC,3412096,30111,113.32
1988,SD,698165,75898,9.2
1988,TN,4822437,41220,116.99
1988,TX,16667022,261914,63.64
1988,UT,1689372,82168,20.56
1988,VA,6036909,39598,152.45
1988,VT,549763,9249,59.44
1988,WA,4639893,66582,69.69
1988,WI,4822388,54314,88.79
1988,WV,1830215,24087,75.98
1988,WY,465101,97105,4.79
1992,AK,587073,570641,1.03
1992,AL,4139269,50750,81.56
1992,AR,2394098,52075,45.97
1992,AZ,3867333,113642,34.03
1992,CA,30875920,155973,197.96
1992,CO,3459995,103730,33.36
1992,CT,3274997,4845,675.95
1992,DE,690158,1955,353.02
1992,FL,13504775,53997,250.1
1992,GA,6759474,57919,116.71
1992,HI,1149926,6423,179.03
1992,IA,2806923,55875,50.24
1992,ID,1066490,82751,12.89
1992,IL,11635197,55593,209.29
1992,IN,5648649,35870,157.48
1992,KS,2526042,81823,30.87
1992,KY,3756358,39732,94.54
1992,LA,4270849,43566,98.03
1992,MA,5993474,7838,764.67
1992,MD,4902545,9775,501.54
1992,ME,1235748,30865,40.04
1992,MI,9470323,56539,167.5
1992,MN,4471503,79617,56.16
1992,MO,5193686,68898,75.38
1992,MS,2610193,46914,55.64
1992,MT,822436,145556,5.65
1992,NC,6831850,48718,140.23
1992,ND,635427,68994,9.21
1992,NE,1602406,76878,20.84
1992,NH,1112766,8969,124.07
1992,NJ,7827770,7419,1055.1
1992,NM,1580750,121365,13.02
1992,NV,1330694,109806,12.12
1992,NY,18082032,47224,382.9
1992,OH,11007609,40953,268.79
1992,OK,3204174,68679,46.65
1992,OR,2973934,96003,30.98
1992,PA,11980819,44820,267.31
1992,RI,1000571,1034,967.67
1992,SC,3600576,30111,119.58
1992,SD,708698,75898,9.34
1992,TN,5013999,41220,121.64
1992,TX,17650479,261914,67.39
1992,UT,1821498,82168,22.17
1992,VA,6383315,39598,161.2
1992,VT,570115,9249,61.64
1992,WA,5139011,66582,77.18
1992,WI,5004636,54314,92.14
1992,WV,1805462,24087,74.96
1992,WY,463491,97105,4.77
1996,AK,604918,570641,1.06
1996,AL,4290403,50750,84.54
1996,AR,2504858,52075,48.1
1996,AZ,4432308,113642,39
1996,CA,31780829,155973,203.76
1996,CO,3812716,103730,36.76
1996,CT,3267030,4845,674.31
1996,DE,727090,1955,371.91
1996,FL,14426911,53997,267.18
1996,GA,7332225,57919,126.59
1996,HI,1184434,6423,184.41
1996,IA,2848473,55875,50.98
1996,ID,1187706,82751,14.35
1996,IL,11953003,55593,215.01
1996,IN,5834908,35870,162.67
1996,KS,2598266,81823,31.75
1996,KY,3881051,39732,97.68
1996,LA,4338763,43566,99.59
1996,MA,6085393,7838,776.4
1996,MD,5057142,9775,517.35
1996,ME,1241436,30865,40.22
1996,MI,9739184,56539,172.26
1996,MN,4647723,79617,58.38
1996,MO,5367888,68898,77.91
1996,MS,2709925,46914,57.76
1996,MT,876656,145556,6.02
1996,NC,7307658,48718,150
1996,ND,642858,68994,9.32
1996,NE,1647657,76878,21.43
1996,NH,1160768,8969,129.42
1996,NJ,8009624,7419,1079.61
1996,NM,1706151,121365,14.06
1996,NV,1596476,109806,14.54
1996,NY,18143805,47224,384.21
1996,OH,11187032,40953,273.17
1996,OK,3289634,68679,47.9
1996,OR,3195087,96003,33.28
1996,PA,12038008,44820,268.59
1996,RI,987858,1034,955.38
1996,SC,3738974,30111,124.17
1996,SD,730699,75898,9.63
1996,TN,5313576,41220,128.91
1996,TX,19006240,261914,72.57
1996,UT,2022253,82168,24.61
1996,VA,6665491,39598,168.33
1996,VT,586352,9249,63.4
1996,WA,5509963,66582,82.75
1996,WI,5173828,54314,95.26
1996,WV,1818983,24087,75.52
1996,WY,480085,97105,4.94
2000,AK,627963,570641,1.1
2000,AL,4452173,50750,87.73
2000,AR,2678588,52075,51.44
2000,AZ,5160586,113642,45.41
2000,CA,33987977,155973,217.91
2000,CO,4326921,103730,41.71
2000,CT,3411777,4845,704.19
2000,DE,786373,1955,402.24
2000,FL,16047515,53997,297.19
2000,GA,8227303,57919,142.05
2000,HI,1213519,6423,188.93
2000,IA,2929067,55875,52.42
2000,ID,1299430,82751,15.7
2000,IL,12434161,55593,223.66
2000,IN,6091866,35870,169.83
2000,KS,2693681,81823,32.92
2000,KY,4049021,39732,101.91
2000,LA,4471885,43566,102.65
2000,MA,6361104,7838,811.57
2000,MD,5311034,9775,543.33
2000,ME,1277072,30865,41.38
2000,MI,9952450,56539,176.03
2000,MN,4933692,79617,61.97
2000,MO,5607285,68898,81.39
2000,MS,2848353,46914,60.71
2000,MT,903773,145556,6.21
2000,NC,8081614,48718,165.89
2000,ND,642023,68994,9.31
2000,NE,1713820,76878,22.29
2000,NH,1239882,8969,138.24
2000,NJ,8430621,7419,1136.36
2000,NM,1821204,121365,15.01
2000,NV,2018741,109806,18.38
2000,NY,19001780,47224,402.38
2000,OH,11363543,40953,277.48
2000,OK,3454365,68679,50.3
2000,OR,3429708,96003,35.73
2000,PA,12284173,44820,274.08
2000,RI,1050268,1034,1015.73
2000,SC,4024223,30111,133.65
2000,SD,755844,75898,9.96
2000,TN,5703719,41220,138.37
2000,TX,20944499,261914,79.97
2000,UT,2244502,82168,27.32
2000,VA,7105817,39598,179.45
2000,VT,609618,9249,65.91
2000,WA,5910512,66582,88.77
2000,WI,5373999,54314,98.94
2000,WV,1807021,24087,75.02
2000,WY,494300,97105,5.09
2004,AK,659286,570641,1.16
2004,AL,4530729,50750,89.28
2004,AR,2749686,52075,52.8
2004,AZ,5652404,113642,49.74
2004,CA,35574576,155973,228.08
2004,CO,4575013,103730,44.11
2004,CT,3496094,4845,721.59
2004,DE,830803,1955,424.96
2004,FL,17415318,53997,322.52
2004,GA,8769252,57919,151.41
2004,HI,1273569,6423,198.28
2004,IA,2953635,55875,52.86
2004,ID,1391802,82751,16.82
2004,IL,12589773,55593,226.46
2004,IN,6233007,35870,173.77
2004,KS,2734373,81823,33.42
2004,KY,4146101,39732,104.35
2004,LA,4552238,43566,104.49
2004,MA,6412281,7838,818.1
2004,MD,5546935,9775,567.46
2004,ME,1313688,30865,42.56
2004,MI,10055315,56539,177.85
2004,MN,5087713,79617,63.9
2004,MO,5747741,68898,83.42
2004,MS,2889010,46914,61.58
2004,MT,930009,145556,6.39
2004,NC,8553152,48718,175.56
2004,ND,644705,68994,9.34
2004,NE,1749370,76878,22.76
2004,NH,1290121,8969,143.84
2004,NJ,8634561,7419,1163.84
2004,NM,1903808,121365,15.69
2004,NV,2346222,109806,21.37
2004,NY,19171567,47224,405.97
2004,OH,11452251,40953,279.64
2004,OK,3525233,68679,51.33
2004,OR,3569463,96003,37.18
2004,PA,12410722,44820,276.9
