year,state,abbr,electors,d_pv,pop,area,d_pv_nat,d_2pv_nat,d_cand,r_cand,winner,incumb_party,d_incumb,r_incumb,d_prev_admin,r_prev_admin,d_hsa,r_hsa,d_rsa,r_rsa,d_2pv,state_winner,dem_hsa_advantage,rep_hsa_advantage,dem_rsa_advantage,rep_rsa_advantage,total_rep_electors,total_dem_electors
2012,Colorado,CO,9,51.49222655,5192647,103730,50.87488268,51.91525804,"Obama, Barack H.","Romney, Mitt",1,1,1,0,1,0,Hawaii,Michigan,Illinois,Massachusetts,52.74798831,1,0,0,0,0,206,332
2016,Colorado,CO,9,48.15698038,5539215,103730,47.05731122,51.16249044,"Clinton, Hillary","Trump, Donald J.",0,1,0,0,1,0,Illinois,New York,New York,New York,52.68333337,1,0,0,0,0,306,232
2020,Colorado,CO,9,55.01106714,5773714,103730,51.31570891,52.26985906,"Biden, Joseph R.","Trump, Donald J.",1,0,0,1,0,1,Pennsylvania,New York,Delaware,Florida,56.93831949,1,0,0,0,0,229,307
1952,Connecticut,CT,8,43.90957881,2081000,4845,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,1,0,0,0,0,California,Kansas,Illinois,New York,44.08036894,0,0,0,0,0,442,89
1956,Connecticut,CT,8,36.260978,2316000,4845,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,0,1,1,0,0,California,Kansas,Illinois,New York,36.26763338,0,0,0,0,0,457,74
1960,Connecticut,CT,8,53.72999706,2544000,4845,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,0,0,0,0,1,Massachusetts,California,Massachusetts,California,53.73065613,1,0,0,0,0,220,317
1964,Connecticut,CT,8,67.80600011,2798000,4845,61.05147582,61.34396784,"Johnson, Lyndon B.","Goldwater, Barry",1,1,1,0,1,0,Texas,Arizona,Texas,Arizona,67.87913889,1,0,0,0,0,52,486
1968,Connecticut,CT,8,49.47820148,2964000,4845,42.71870649,49.59537839,"Humphrey, Hubert","Nixon, Richard M.",0,1,0,0,0,1,South Dakota,California,Minnesota,New York,52.75146357,1,0,0,0,0,320,218
1972,Connecticut,CT,8,40.12910711,3068699,4845,37.53335786,38.21099117,"McGovern, George","Nixon, Richard M.",0,0,0,1,0,1,South Dakota,California,South Dakota,New York,40.65826369,0,0,0,0,0,521,17
1976,Connecticut,CT,8,46.73370096,3083335,4845,49.85266664,51.13734917,"Carter, Jimmy","Ford, Gerald",1,0,0,1,0,1,Georgia,Nebraska,Georgia,Michigan,47.38998329,0,0,0,0,0,241,297
1980,Connecticut,CT,8,38.52220567,3113174,4845,41.01993031,44.84244123,"Carter, Jimmy","Reagan, Ronald",0,1,1,0,0,0,Georgia,Illinois,Georgia,California,44.44280368,0,0,0,0,0,448,90
