year,state,abbr,electors,d_pv,r_pv,margin,pl,d_2pv,d_pv_nat,r_pv_nat,margin_nat,d_2pv_nat,d_cand,r_cand,winner,d_electors,r_electors,state_winner,incumb_party,d_incumb,r_incumb,d_prev_admin,r_prev_admin,d_hsa,r_hsa,d_rsa,r_rsa,pop,area,jobs_pct_change,pce_pct_change,rdpi_pct_change,cpi_pct_change,ics_pct_change,sp500_avg,unemp_avg
1952,Rhode Island,RI,4,49.0455925,50.88926846,-1.843675964,4.66771336,49.07756115,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,802000,1034,0.684633769,NA,NA,1.186325247,NA,-0.792227637,-1.365369935
1952,South Carolina,SC,8,50.72151891,49.27848109,1.44303782,6.34363977,50.72151891,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,1,1,0,0,0,0,0,0,0,0,2178000,30111,0.684633769,NA,NA,1.186325247,NA,-0.792227637,-1.365369935
1952,South Dakota,SD,4,30.72756496,69.27243504,-38.54487008,-13.65031418,30.72756496,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,651000,75898,0.684633769,NA,NA,1.186325247,NA,-0.792227637,-1.365369935
1952,Tennessee,TN,11,49.71245405,49.98549107,-0.27303702,5.33457491,49.86306788,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,3352000,41220,0.684633769,NA,NA,1.186325247,NA,-0.792227637,-1.365369935
1952,Texas,TX,24,46.68849768,53.12652641,-6.438028728,2.31061854,46.7750202,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,8314000,261914,0.684633769,NA,NA,1.186325247,NA,-0.792227637,-1.365369935
1952,Utah,UT,4,41.0749073,58.9250927,-17.8501854,-3.30297184,41.0749073,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,724000,82168,0.684633769,NA,NA,1.186325247,NA,-0.792227637,-1.365369935
1952,Vermont,VT,3,28.23381546,71.45034092,-43.21652546,-16.14406368,28.32327271,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,375000,9249,0.684633769,NA,NA,1.186325247,NA,-0.792227637,-1.365369935
1952,Virginia,VA,12,43.3567483,56.32454344,-12.96779514,-1.02113084,43.49537164,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,3504000,39598,0.684633769,NA,NA,1.186325247,NA,-0.792227637,-1.365369935
1952,Washington,WA,9,44.69406225,54.33052086,-9.636458615,0.31618311,45.13430993,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,2448000,66582,0.684633769,NA,NA,1.186325247,NA,-0.792227637,-1.365369935
1952,West Virginia,WV,8,51.9236493,48.0763507,3.8472986,7.54577016,51.9236493,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,1,1,0,0,0,0,0,0,0,0,1957000,24087,0.684633769,NA,NA,1.186325247,NA,-0.792227637,-1.365369935
