year,state,abbr,electors,d_pv2p,r_pv2p,d_natl_share,r_natl_share,d_cand,r_cand,winner,state_winner,total_rep_electors,total_dem_electors,density,resident_dummy,birth_dummy
1968,Massachusetts,MA,12,65.70560208,34.29439792,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",1,341,194,716.76,0,0
1968,Michigan,MI,17,53.75229397,46.24770603,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",1,341,194,153.81,0,0
1968,Minnesota,MN,10,56.56480792,43.43519208,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",1,341,194,46.51,1,0
1968,Mississippi,MS,6,62.98879411,37.01120589,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",1,341,194,47.3,0,0
1968,Missouri,MO,11,49.36109808,50.63890192,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",0,341,194,66.3,0,0
1968,Montana,MT,3,45.11409279,54.88590721,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",0,341,194,4.81,0,0
1968,Nebraska,NE,5,34.71593485,65.28406515,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",0,341,194,19.08,0,0
1968,Nevada,NV,5,45.29472441,54.70527559,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",0,341,194,4.23,0,0
1968,New Hampshire,NH,4,45.74173707,54.25826293,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",0,341,194,79.05,0,0
1968,New Jersey,NJ,15,48.81720588,51.18279412,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",0,341,194,944.2,0,0
1968,New Mexico,NM,5,43.3931675,56.6068325,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",0,341,194,8.19,0,0
1968,New York,NY,31,52.90099183,47.09900817,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",1,341,194,382.24,-1,0
1968,North Carolina,NC,15,42.52825745,57.47174255,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",0,341,194,102.71,0,0
1968,North Dakota,ND,3,40.59707503,59.40292497,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",0,341,194,9,0,0
1968,Ohio,OH,20,48.70506358,51.29493642,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",0,341,194,256.78,0,0
1968,Oklahoma,OK,7,40.14853165,59.85146835,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",0,341,194,36.44,0,0
1968,Oregon,OR,7,46.77003359,53.22996641,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",0,341,194,20.87,0,0
1968,Pennsylvania,PA,21,51.94724724,48.05275276,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",1,341,194,261.96,0,0
1968,Rhode Island,RI,4,66.82932251,33.17067749,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",1,341,194,891.68,0,0
1968,South Carolina,SC,8,43.73532825,56.26467175,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",0,341,194,84.99,0,0
1968,South Dakota,SD,3,44.06079204,55.93920796,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",0,341,194,8.81,0,1
1968,Tennessee,TN,11,42.63441872,57.36558128,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",0,341,194,94.08,0,0
1968,Texas,TX,34,50.78087169,49.21912831,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",1,341,194,41.31,0,0
