year,state,abbr,electors,d_pv,r_pv,margin,pl,pl_lag1,pl_lag2,d_2pv,d_pv_nat,r_pv_nat,margin_nat,d_2pv_nat,d_cand,r_cand,winner,d_electors,r_electors,state_winner,incumb,incumb_party,d_prev_admin,r_prev_admin,d_hsa,r_hsa,d_rsa,r_rsa,pop,area,pop_norm,hsa_adjustment,rsa_adjustment,elasticity,elasticity_lag1,elasticity_lag2
1952,Texas,TX,24,46.68849768,53.12652641,-6.438028728,2.31061854,NA,NA,46.7750202,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,8314000,261914,0.541802678,0,0,1,NA,NA
1952,Utah,UT,4,41.0749073,58.9250927,-17.8501854,-3.30297184,NA,NA,41.0749073,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,724000,82168,0.036173473,0,0,1,NA,NA
1952,Vermont,VT,3,28.23381546,71.45034092,-43.21652546,-16.14406368,NA,NA,28.32327271,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,375000,9249,0.012923856,0,0,1,NA,NA
1952,Virginia,VA,12,43.3567483,56.32454344,-12.96779514,-1.02113084,NA,NA,43.49537164,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,3504000,39598,0.221370995,0,0,1,NA,NA
1952,Washington,WA,9,44.69406225,54.33052086,-9.636458615,0.31618311,NA,NA,45.13430993,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,2448000,66582,0.151022583,0,0,1,NA,NA
1952,West Virginia,WV,8,51.9236493,48.0763507,3.8472986,7.54577016,NA,NA,51.9236493,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,1,0,1,0,0,0,0,0,0,1957000,24087,0.118313237,0,0,1,NA,NA
1952,Wisconsin,WI,12,38.70764043,60.95323416,-22.24559373,-5.67023871,NA,NA,38.83935455,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,3469000,54314,0.219039371,0,0,1,NA,NA
1952,Wyoming,WY,3,37.08597999,62.70512415,-25.61914416,-7.29189915,NA,NA,37.16361324,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,293000,97105,0.007461195,0,0,1,NA,NA
1956,Alabama,AL,11,56.52251792,39.38527304,17.13724488,14.5685453,20.17553304,NA,58.9342298,41.95397262,57.37908457,-15.42511195,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,1,-1,-1,0,0,0,0,0,0,3071000,50750,0.177846425,0,0,2.516839663,1,NA
1956,Arizona,AZ,4,38.90093151,60.99464801,-22.0937165,-3.05304111,-2.72765079,NA,38.94159451,41.95397262,57.37908457,-15.42511195,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,-1,-1,0,0,0,0,0,0,1053000,113642,0.050624133,0,0,1.095277218,1,NA
1956,Arkansas,AR,8,52.45737532,45.81894474,6.638430585,10.5034027,11.52627106,NA,53.3774314,41.95397262,57.37908457,-15.42511195,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,1,-1,-1,0,0,0,0,0,0,1704000,52075,0.091665616,0,0,1.117198193,1,NA
1956,California,CA,32,44.27328631,55.38732849,-11.11404218,2.31931369,-2.11255167,NA,44.42405498,41.95397262,57.37908457,-15.42511195,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,-1,-1,0,0,1,0,0,0,13713000,155973,0.848758038,1.178192082,0,-0.70046952,1,NA
1956,Colorado,CO,6,39.81410823,59.49245484,-19.67834661,-2.13986439,-5.41536031,NA,40.09212181,41.95397262,57.37908457,-15.42511195,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,-1,-1,0,0,0,0,0,0,1625000,103730,0.08668516,0,0,-0.331402611,1,NA
1956,Connecticut,CT,8,36.260978,63.72067126,-27.45969326,-5.69299462,-0.46830033,NA,36.26763338,41.95397262,57.37908457,-15.42511195,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,-1,-1,0,0,0,0,0,0,2316000,4845,0.130248392,0,0,3.181014706,1,NA
